time,enrolled,available,waitlisted,total,course,quarter,pass,priority
2022-05-22,0.0,15.0,0.0,15.0,ANAR 120,FA 22,1,3
2022-05-23,0.0,15.0,0.0,15.0,ANAR 120,FA 22,1,4
2022-05-27,8.0,7.0,0.0,15.0,ANAR 120,FA 22,2,1
2022-05-28,8.0,7.0,0.0,15.0,ANAR 120,FA 22,2,2
2022-05-29,8.0,7.0,0.0,15.0,ANAR 120,FA 22,2,3
2022-05-30,9.0,6.0,0.0,15.0,ANAR 120,FA 22,2,4
2022-06-03,15.0,0.0,3.0,15.0,ANAR 120,FA 22,3,6
2022-08-17,15.0,0.0,3.0,15.0,ANAR 120,FA 22,1,5
2022-08-24,15.0,0.0,3.0,15.0,ANAR 120,FA 22,2,5
2022-05-20,0.0,32.0,0.0,32.0,ANAR 143,FA 22,1,1
2022-05-21,1.0,31.0,0.0,32.0,ANAR 143,FA 22,1,2
2022-05-22,1.0,31.0,0.0,32.0,ANAR 143,FA 22,1,3
2022-05-23,1.0,31.0,0.0,32.0,ANAR 143,FA 22,1,4
2022-05-27,7.0,25.0,0.0,32.0,ANAR 143,FA 22,2,1
2022-05-28,7.0,17.0,0.0,24.0,ANAR 143,FA 22,2,2
2022-05-29,6.0,18.0,0.0,24.0,ANAR 143,FA 22,2,3
2022-05-30,6.0,18.0,0.0,24.0,ANAR 143,FA 22,2,4
2022-06-03,23.0,1.0,0.0,24.0,ANAR 143,FA 22,3,6
2022-08-17,21.0,3.0,0.0,24.0,ANAR 143,FA 22,1,5
2022-08-24,24.0,0.0,0.0,24.0,ANAR 143,FA 22,2,5
2022-05-20,0.0,34.0,0.0,34.0,ANBI 100,FA 22,1,1
2022-05-21,2.0,32.0,0.0,34.0,ANBI 100,FA 22,1,2
2022-05-22,3.0,31.0,0.0,34.0,ANBI 100,FA 22,1,3
2022-05-23,3.0,31.0,0.0,34.0,ANBI 100,FA 22,1,4
2022-05-27,3.0,31.0,0.0,34.0,ANBI 100,FA 22,2,1
2022-05-28,3.0,21.0,0.0,24.0,ANBI 100,FA 22,2,2
2022-05-29,3.0,21.0,0.0,24.0,ANBI 100,FA 22,2,3
2022-05-30,4.0,20.0,0.0,24.0,ANBI 100,FA 22,2,4
2022-06-03,13.0,11.0,0.0,24.0,ANBI 100,FA 22,3,6
2022-08-17,24.0,0.0,0.0,24.0,ANBI 100,FA 22,1,5
2022-08-24,24.0,0.0,1.0,24.0,ANBI 100,FA 22,2,5
2022-05-20,0.0,28.0,0.0,28.0,ANBI 112,FA 22,1,1
2022-05-21,3.0,25.0,0.0,28.0,ANBI 112,FA 22,1,2
2022-05-22,8.0,20.0,0.0,28.0,ANBI 112,FA 22,1,3
2022-05-23,7.0,21.0,0.0,28.0,ANBI 112,FA 22,1,4
2022-05-27,25.0,3.0,0.0,28.0,ANBI 112,FA 22,2,1
2022-05-28,25.0,0.0,0.0,25.0,ANBI 112,FA 22,2,2
2022-05-29,25.0,0.0,2.0,25.0,ANBI 112,FA 22,2,3
2022-05-30,25.0,0.0,1.0,25.0,ANBI 112,FA 22,2,4
2022-06-03,25.0,0.0,12.0,25.0,ANBI 112,FA 22,3,6
2022-08-17,22.0,0.0,15.0,21.0,ANBI 112,FA 22,1,5
2022-08-24,22.0,0.0,15.0,22.0,ANBI 112,FA 22,2,5
2022-05-20,0.0,32.0,0.0,32.0,ANBI 118,FA 22,1,1
2022-05-21,0.0,32.0,0.0,32.0,ANBI 118,FA 22,1,2
2022-05-22,0.0,32.0,0.0,32.0,ANBI 118,FA 22,1,3
2022-05-23,0.0,32.0,0.0,32.0,ANBI 118,FA 22,1,4
2022-05-27,3.0,29.0,0.0,32.0,ANBI 118,FA 22,2,1
2022-05-28,3.0,21.0,0.0,24.0,ANBI 118,FA 22,2,2
2022-05-29,3.0,21.0,0.0,24.0,ANBI 118,FA 22,2,3
2022-05-30,3.0,21.0,0.0,24.0,ANBI 118,FA 22,2,4
2022-06-03,15.0,9.0,0.0,24.0,ANBI 118,FA 22,3,6
2022-05-20,0.0,22.0,0.0,22.0,ANBI 136,FA 22,1,1
2022-05-21,1.0,21.0,0.0,22.0,ANBI 136,FA 22,1,2
2022-05-22,2.0,20.0,0.0,22.0,ANBI 136,FA 22,1,3
2022-05-23,2.0,20.0,0.0,22.0,ANBI 136,FA 22,1,4
2022-05-27,5.0,17.0,0.0,22.0,ANBI 136,FA 22,2,1
2022-05-28,5.0,17.0,0.0,22.0,ANBI 136,FA 22,2,2
2022-05-29,7.0,15.0,0.0,22.0,ANBI 136,FA 22,2,3
2022-05-30,7.0,15.0,0.0,22.0,ANBI 136,FA 22,2,4
2022-06-03,15.0,7.0,0.0,22.0,ANBI 136,FA 22,3,6
2022-08-17,20.0,0.0,0.0,20.0,ANBI 136,FA 22,1,5
2022-08-24,20.0,0.0,0.0,20.0,ANBI 136,FA 22,2,5
2022-05-20,0.0,192.0,0.0,192.0,ANBI 141,FA 22,1,1
2022-05-21,4.0,188.0,0.0,192.0,ANBI 141,FA 22,1,2
2022-05-22,5.0,187.0,0.0,192.0,ANBI 141,FA 22,1,3
2022-05-23,6.0,186.0,0.0,192.0,ANBI 141,FA 22,1,4
2022-05-27,31.0,161.0,0.0,192.0,ANBI 141,FA 22,2,1
2022-05-28,31.0,109.0,0.0,140.0,ANBI 141,FA 22,2,2
2022-05-29,36.0,104.0,0.0,140.0,ANBI 141,FA 22,2,3
2022-05-30,38.0,102.0,0.0,140.0,ANBI 141,FA 22,2,4
2022-06-03,101.0,39.0,0.0,140.0,ANBI 141,FA 22,3,6
2022-08-17,124.0,56.0,0.0,180.0,ANBI 141,FA 22,1,5
2022-08-24,147.0,33.0,0.0,180.0,ANBI 141,FA 22,2,5
2022-05-20,0.0,32.0,0.0,32.0,ANBI 145,FA 22,1,1
2022-05-21,1.0,31.0,0.0,32.0,ANBI 145,FA 22,1,2
2022-05-22,2.0,30.0,0.0,32.0,ANBI 145,FA 22,1,3
2022-05-23,2.0,30.0,0.0,32.0,ANBI 145,FA 22,1,4
2022-05-27,9.0,23.0,0.0,32.0,ANBI 145,FA 22,2,1
2022-05-28,9.0,15.0,0.0,24.0,ANBI 145,FA 22,2,2
2022-05-29,11.0,13.0,0.0,24.0,ANBI 145,FA 22,2,3
2022-05-30,11.0,13.0,0.0,24.0,ANBI 145,FA 22,2,4
2022-06-03,20.0,4.0,0.0,24.0,ANBI 145,FA 22,3,6
2022-08-17,24.0,0.0,1.0,24.0,ANBI 145,FA 22,1,5
2022-08-24,24.0,0.0,1.0,24.0,ANBI 145,FA 22,2,5
2022-05-20,0.0,32.0,0.0,32.0,ANBI 175,FA 22,1,1
2022-05-21,0.0,32.0,0.0,32.0,ANBI 175,FA 22,1,2
2022-05-22,0.0,32.0,0.0,32.0,ANBI 175,FA 22,1,3
2022-05-23,2.0,30.0,0.0,32.0,ANBI 175,FA 22,1,4
2022-05-27,6.0,26.0,0.0,32.0,ANBI 175,FA 22,2,1
2022-05-28,6.0,18.0,0.0,24.0,ANBI 175,FA 22,2,2
2022-05-29,6.0,18.0,0.0,24.0,ANBI 175,FA 22,2,3
2022-05-30,6.0,18.0,0.0,24.0,ANBI 175,FA 22,2,4
2022-06-03,11.0,13.0,0.0,24.0,ANBI 175,FA 22,3,6
2022-08-17,14.0,6.0,0.0,20.0,ANBI 175,FA 22,1,5
2022-08-24,20.0,0.0,1.0,20.0,ANBI 175,FA 22,2,5
2022-05-20,0.0,46.0,0.0,46.0,ANSC 104,FA 22,1,1
2022-05-21,1.0,45.0,0.0,46.0,ANSC 104,FA 22,1,2
2022-05-22,5.0,41.0,0.0,46.0,ANSC 104,FA 22,1,3
2022-05-23,5.0,41.0,0.0,46.0,ANSC 104,FA 22,1,4
2022-05-27,12.0,34.0,0.0,46.0,ANSC 104,FA 22,2,1
2022-05-28,12.0,34.0,0.0,46.0,ANSC 104,FA 22,2,2
2022-05-29,14.0,32.0,0.0,46.0,ANSC 104,FA 22,2,3
2022-05-30,15.0,31.0,0.0,46.0,ANSC 104,FA 22,2,4
2022-06-03,33.0,13.0,0.0,46.0,ANSC 104,FA 22,3,6
2022-08-17,33.0,13.0,0.0,46.0,ANSC 104,FA 22,1,5
2022-08-24,44.0,2.0,4.0,46.0,ANSC 104,FA 22,2,5
2022-05-20,0.0,37.0,0.0,37.0,ANSC 105,FA 22,1,1
2022-05-21,1.0,36.0,0.0,37.0,ANSC 105,FA 22,1,2
2022-05-22,0.0,37.0,0.0,37.0,ANSC 105,FA 22,1,3
2022-05-23,1.0,36.0,0.0,37.0,ANSC 105,FA 22,1,4
2022-05-27,5.0,32.0,0.0,37.0,ANSC 105,FA 22,2,1
2022-05-28,5.0,32.0,0.0,37.0,ANSC 105,FA 22,2,2
2022-05-29,7.0,30.0,0.0,37.0,ANSC 105,FA 22,2,3
2022-05-30,7.0,30.0,0.0,37.0,ANSC 105,FA 22,2,4
2022-06-03,37.0,0.0,2.0,37.0,ANSC 105,FA 22,3,6
2022-08-17,37.0,0.0,2.0,37.0,ANSC 105,FA 22,1,5
2022-08-24,37.0,0.0,9.0,37.0,ANSC 105,FA 22,2,5
2022-05-20,0.0,56.0,0.0,56.0,ANSC 120,FA 22,1,1
2022-05-21,2.0,54.0,0.0,56.0,ANSC 120,FA 22,1,2
2022-05-22,5.0,51.0,0.0,56.0,ANSC 120,FA 22,1,3
2022-05-23,5.0,51.0,0.0,56.0,ANSC 120,FA 22,1,4
2022-05-27,15.0,41.0,0.0,56.0,ANSC 120,FA 22,2,1
2022-05-28,15.0,19.0,0.0,34.0,ANSC 120,FA 22,2,2
2022-05-29,16.0,18.0,0.0,34.0,ANSC 120,FA 22,2,3
2022-05-30,17.0,17.0,0.0,34.0,ANSC 120,FA 22,2,4
2022-06-03,34.0,0.0,1.0,34.0,ANSC 120,FA 22,3,6
2022-08-17,34.0,0.0,0.0,34.0,ANSC 120,FA 22,1,5
2022-08-24,34.0,0.0,1.0,34.0,ANSC 120,FA 22,2,5
2022-05-20,0.0,32.0,0.0,32.0,ANSC 121,FA 22,1,1
2022-05-21,2.0,30.0,0.0,32.0,ANSC 121,FA 22,1,2
2022-05-22,3.0,29.0,0.0,32.0,ANSC 121,FA 22,1,3
2022-05-23,3.0,29.0,0.0,32.0,ANSC 121,FA 22,1,4
2022-05-27,14.0,18.0,0.0,32.0,ANSC 121,FA 22,2,1
2022-05-28,14.0,14.0,0.0,28.0,ANSC 121,FA 22,2,2
2022-05-29,15.0,13.0,0.0,28.0,ANSC 121,FA 22,2,3
2022-05-30,16.0,12.0,0.0,28.0,ANSC 121,FA 22,2,4
2022-06-03,28.0,0.0,6.0,28.0,ANSC 121,FA 22,3,6
2022-08-17,28.0,0.0,7.0,28.0,ANSC 121,FA 22,1,5
2022-08-24,28.0,0.0,7.0,28.0,ANSC 121,FA 22,2,5
2022-05-20,0.0,73.0,0.0,73.0,ANSC 148,FA 22,1,1
2022-05-21,2.0,71.0,0.0,73.0,ANSC 148,FA 22,1,2
2022-05-22,2.0,71.0,0.0,73.0,ANSC 148,FA 22,1,3
2022-05-23,2.0,71.0,0.0,73.0,ANSC 148,FA 22,1,4
2022-05-27,3.0,70.0,0.0,73.0,ANSC 148,FA 22,2,1
2022-05-28,3.0,70.0,0.0,73.0,ANSC 148,FA 22,2,2
2022-05-29,5.0,68.0,0.0,73.0,ANSC 148,FA 22,2,3
2022-05-30,5.0,68.0,0.0,73.0,ANSC 148,FA 22,2,4
2022-06-03,22.0,3.0,0.0,25.0,ANSC 148,FA 22,3,6
2022-08-17,25.0,7.0,2.0,32.0,ANSC 148,FA 22,1,5
2022-08-24,32.0,0.0,3.0,32.0,ANSC 148,FA 22,2,5
2022-05-20,0.0,25.0,0.0,25.0,ANSC 169,FA 22,1,1
2022-05-21,1.0,24.0,0.0,25.0,ANSC 169,FA 22,1,2
2022-05-22,2.0,23.0,0.0,25.0,ANSC 169,FA 22,1,3
2022-05-23,2.0,23.0,0.0,25.0,ANSC 169,FA 22,1,4
2022-05-27,7.0,18.0,0.0,25.0,ANSC 169,FA 22,2,1
2022-05-28,7.0,13.0,0.0,20.0,ANSC 169,FA 22,2,2
2022-05-29,7.0,13.0,0.0,20.0,ANSC 169,FA 22,2,3
2022-05-30,7.0,13.0,0.0,20.0,ANSC 169,FA 22,2,4
2022-06-03,14.0,6.0,0.0,20.0,ANSC 169,FA 22,3,6
2022-08-17,15.0,5.0,0.0,20.0,ANSC 169,FA 22,1,5
2022-08-24,20.0,0.0,0.0,20.0,ANSC 169,FA 22,2,5
2022-05-20,0.0,32.0,0.0,32.0,ANSC 175,FA 22,1,1
2022-05-21,1.0,31.0,0.0,32.0,ANSC 175,FA 22,1,2
2022-05-22,3.0,29.0,0.0,32.0,ANSC 175,FA 22,1,3
2022-05-23,4.0,28.0,0.0,32.0,ANSC 175,FA 22,1,4
2022-05-27,11.0,21.0,0.0,32.0,ANSC 175,FA 22,2,1
2022-05-28,11.0,13.0,0.0,24.0,ANSC 175,FA 22,2,2
2022-05-29,14.0,10.0,0.0,24.0,ANSC 175,FA 22,2,3
2022-05-30,14.0,10.0,0.0,24.0,ANSC 175,FA 22,2,4
2022-06-03,24.0,0.0,6.0,24.0,ANSC 175,FA 22,3,6
2022-08-17,24.0,4.0,3.0,28.0,ANSC 175,FA 22,1,5
2022-08-24,24.0,4.0,4.0,28.0,ANSC 175,FA 22,2,5
2022-05-20,0.0,146.0,0.0,146.0,ANTH 1,FA 22,1,1
2022-05-21,0.0,146.0,0.0,146.0,ANTH 1,FA 22,1,2
2022-05-22,0.0,146.0,0.0,146.0,ANTH 1,FA 22,1,3
2022-05-23,0.0,146.0,0.0,146.0,ANTH 1,FA 22,1,4
2022-05-27,9.0,137.0,0.0,146.0,ANTH 1,FA 22,2,1
2022-05-28,9.0,137.0,0.0,146.0,ANTH 1,FA 22,2,2
2022-05-29,11.0,135.0,0.0,146.0,ANTH 1,FA 22,2,3
2022-05-30,11.0,135.0,0.0,146.0,ANTH 1,FA 22,2,4
2022-06-03,29.0,117.0,0.0,146.0,ANTH 1,FA 22,3,6
2022-08-17,37.0,109.0,0.0,146.0,ANTH 1,FA 22,1,5
2022-08-24,146.0,0.0,14.0,146.0,ANTH 1,FA 22,2,5
2022-05-20,0.0,216.0,0.0,216.0,ANTH 10,FA 22,1,1
2022-05-21,0.0,216.0,0.0,216.0,ANTH 10,FA 22,1,2
2022-05-22,0.0,216.0,0.0,216.0,ANTH 10,FA 22,1,3
2022-05-23,1.0,215.0,0.0,216.0,ANTH 10,FA 22,1,4
2022-05-27,1.0,0.0,0.0,0.0,ANTH 10,FA 22,2,1
2022-05-28,1.0,0.0,0.0,0.0,ANTH 10,FA 22,2,2
2022-05-29,1.0,0.0,0.0,0.0,ANTH 10,FA 22,2,3
2022-05-30,1.0,0.0,0.0,0.0,ANTH 10,FA 22,2,4
2022-06-03,7.0,133.0,0.0,140.0,ANTH 10,FA 22,3,6
2022-08-17,17.0,123.0,0.0,140.0,ANTH 10,FA 22,1,5
2022-08-24,138.0,2.0,5.0,140.0,ANTH 10,FA 22,2,5
2022-05-20,0.0,146.0,0.0,146.0,ANTH 101,FA 22,1,1
2022-05-21,4.0,142.0,0.0,146.0,ANTH 101,FA 22,1,2
2022-05-22,7.0,139.0,0.0,146.0,ANTH 101,FA 22,1,3
2022-05-23,8.0,138.0,0.0,146.0,ANTH 101,FA 22,1,4
2022-05-27,38.0,108.0,0.0,146.0,ANTH 101,FA 22,2,1
2022-05-28,38.0,90.0,0.0,128.0,ANTH 101,FA 22,2,2
2022-05-29,39.0,89.0,0.0,128.0,ANTH 101,FA 22,2,3
2022-05-30,39.0,89.0,0.0,128.0,ANTH 101,FA 22,2,4
2022-06-03,68.0,60.0,0.0,128.0,ANTH 101,FA 22,3,6
2022-08-17,70.0,70.0,0.0,140.0,ANTH 101,FA 22,1,5
2022-08-24,98.0,42.0,0.0,140.0,ANTH 101,FA 22,2,5
2022-05-20,0.0,40.0,0.0,40.0,ANTH 105,FA 22,1,1
2022-05-21,1.0,39.0,0.0,40.0,ANTH 105,FA 22,1,2
2022-05-22,1.0,39.0,0.0,40.0,ANTH 105,FA 22,1,3
2022-05-23,1.0,39.0,0.0,40.0,ANTH 105,FA 22,1,4
2022-05-27,5.0,35.0,0.0,40.0,ANTH 105,FA 22,2,1
2022-05-28,5.0,35.0,0.0,40.0,ANTH 105,FA 22,2,2
2022-05-29,7.0,33.0,0.0,40.0,ANTH 105,FA 22,2,3
2022-05-30,7.0,33.0,0.0,40.0,ANTH 105,FA 22,2,4
2022-06-03,26.0,14.0,0.0,40.0,ANTH 105,FA 22,3,6
2022-08-17,40.0,0.0,1.0,40.0,ANTH 105,FA 22,1,5
2022-08-24,40.0,0.0,6.0,40.0,ANTH 105,FA 22,2,5
2022-05-20,0.0,32.0,0.0,32.0,ANTH 108,FA 22,1,1
2022-05-21,0.0,32.0,0.0,32.0,ANTH 108,FA 22,1,2
2022-05-22,1.0,31.0,0.0,32.0,ANTH 108,FA 22,1,3
2022-05-23,1.0,31.0,0.0,32.0,ANTH 108,FA 22,1,4
2022-05-27,3.0,29.0,0.0,32.0,ANTH 108,FA 22,2,1
2022-05-28,3.0,29.0,0.0,32.0,ANTH 108,FA 22,2,2
2022-05-29,3.0,29.0,0.0,32.0,ANTH 108,FA 22,2,3
2022-05-30,4.0,28.0,0.0,32.0,ANTH 108,FA 22,2,4
2022-06-03,15.0,17.0,0.0,32.0,ANTH 108,FA 22,3,6
2022-08-17,17.0,15.0,0.0,32.0,ANTH 108,FA 22,1,5
2022-08-24,25.0,7.0,0.0,32.0,ANTH 108,FA 22,2,5
2022-05-20,0.0,20.0,0.0,20.0,ANTH 192,FA 22,1,1
2022-05-21,0.0,20.0,0.0,20.0,ANTH 192,FA 22,1,2
2022-05-22,0.0,20.0,0.0,20.0,ANTH 192,FA 22,1,3
2022-05-23,0.0,20.0,0.0,20.0,ANTH 192,FA 22,1,4
2022-05-27,2.0,18.0,0.0,20.0,ANTH 192,FA 22,2,1
2022-05-28,2.0,18.0,0.0,20.0,ANTH 192,FA 22,2,2
2022-05-29,2.0,18.0,0.0,20.0,ANTH 192,FA 22,2,3
2022-05-30,2.0,18.0,0.0,20.0,ANTH 192,FA 22,2,4
2022-06-03,3.0,17.0,0.0,20.0,ANTH 192,FA 22,3,6
2022-08-17,4.0,16.0,0.0,20.0,ANTH 192,FA 22,1,5
2022-08-24,4.0,16.0,0.0,20.0,ANTH 192,FA 22,2,5
2022-05-20,0.0,20.0,0.0,20.0,ANTH 196A,FA 22,1,1
2022-05-21,0.0,20.0,0.0,20.0,ANTH 196A,FA 22,1,2
2022-05-22,0.0,20.0,0.0,20.0,ANTH 196A,FA 22,1,3
2022-05-23,0.0,20.0,0.0,20.0,ANTH 196A,FA 22,1,4
2022-05-27,0.0,20.0,0.0,20.0,ANTH 196A,FA 22,2,1
2022-05-28,0.0,20.0,0.0,20.0,ANTH 196A,FA 22,2,2
2022-05-29,0.0,20.0,0.0,20.0,ANTH 196A,FA 22,2,3
2022-05-30,0.0,20.0,0.0,20.0,ANTH 196A,FA 22,2,4
2022-06-03,3.0,17.0,0.0,20.0,ANTH 196A,FA 22,3,6
2022-08-17,4.0,16.0,0.0,20.0,ANTH 196A,FA 22,1,5
2022-08-24,4.0,16.0,0.0,20.0,ANTH 196A,FA 22,2,5
2022-05-20,0.0,216.0,0.0,216.0,ANTH 2,FA 22,1,1
2022-05-21,2.0,214.0,0.0,216.0,ANTH 2,FA 22,1,2
2022-05-22,3.0,213.0,0.0,216.0,ANTH 2,FA 22,1,3
2022-05-23,3.0,213.0,0.0,216.0,ANTH 2,FA 22,1,4
2022-05-27,11.0,205.0,0.0,216.0,ANTH 2,FA 22,2,1
2022-05-28,11.0,149.0,0.0,160.0,ANTH 2,FA 22,2,2
2022-05-29,11.0,149.0,0.0,160.0,ANTH 2,FA 22,2,3
2022-05-30,11.0,149.0,0.0,160.0,ANTH 2,FA 22,2,4
2022-06-03,31.0,129.0,0.0,160.0,ANTH 2,FA 22,3,6
2022-08-17,29.0,131.0,0.0,160.0,ANTH 2,FA 22,1,5
2022-08-24,114.0,46.0,1.0,160.0,ANTH 2,FA 22,2,5
2022-05-20,0.0,486.0,0.0,486.0,ANTH 21,FA 22,1,1
2022-05-21,3.0,483.0,0.0,486.0,ANTH 21,FA 22,1,2
2022-05-22,4.0,482.0,0.0,486.0,ANTH 21,FA 22,1,3
2022-05-23,4.0,482.0,0.0,486.0,ANTH 21,FA 22,1,4
2022-05-27,36.0,450.0,0.0,486.0,ANTH 21,FA 22,2,1
2022-05-28,36.0,408.0,0.0,444.0,ANTH 21,FA 22,2,2
2022-05-29,43.0,401.0,0.0,444.0,ANTH 21,FA 22,2,3
2022-05-30,45.0,399.0,0.0,444.0,ANTH 21,FA 22,2,4
2022-06-03,150.0,294.0,0.0,444.0,ANTH 21,FA 22,3,6
2022-08-17,193.0,251.0,0.0,444.0,ANTH 21,FA 22,1,5
2022-08-24,381.0,63.0,92.0,444.0,ANTH 21,FA 22,2,5
2022-05-20,0.0,155.0,0.0,155.0,ANTH 23,FA 22,1,1
2022-05-21,0.0,155.0,0.0,155.0,ANTH 23,FA 22,1,2
2022-05-22,0.0,155.0,0.0,155.0,ANTH 23,FA 22,1,3
2022-05-23,0.0,155.0,0.0,155.0,ANTH 23,FA 22,1,4
2022-05-27,6.0,149.0,0.0,155.0,ANTH 23,FA 22,2,1
2022-05-28,6.0,149.0,0.0,155.0,ANTH 23,FA 22,2,2
2022-05-29,8.0,147.0,0.0,155.0,ANTH 23,FA 22,2,3
